"esqp_01" "esqp_02" "esqp_03" "esqp_04" "esqp_05" "esqp_06" "esqp_07" "esqp_08" "esqp_09" "esqp_10" "esqp_11" "esqp_12"
"299" 1 1 1 1 1 2 1 1 1 1 1 1
"300" 1 1 1 2 2 2 1 2 1 1 1 2
"301" 1 1 1 2 2 2 1 2 1 1 1 2
"302" 1 1 1 1 1 2 2 1 2 1 1 1
"303" 1 1 1 1 1 2 2 1 2 1 1 1
"304" 1 1 1 1 2 2 1 1 1 2 1 1
"305" 1 1 1 1 2 2 1 1 1 2 1 1
"306" 1 1 1 1 2 1 2 1 1 1 1 1
"307" 1 1 1 1 2 1 2 1 1 1 1 1
"308" 1 1 1 1 2 1 2 1 1 1 1 1
"309" 1 1 1 1 2 1 2 1 1 1 1 1
"310" 1 1 1 1 1 1 1 1 1 1 1 1
"311" 1 1 1 1 1 1 1 1 1 1 1 1
"312" 1 1 1 1 2 1 1 1 1 1 1 1
"313" 1 1 1 1 1 1 1 1 2 3 1 1
"314" 2 3 1 2 2 2 2 1 1 1 2 2
"315" 2 2 2 2 3 3 3 1 NA 1 NA 3
"316" 2 2 2 2 3 3 3 1 NA 1 NA 3
"317" 2 2 1 2 2 2 2 2 2 2 2 2
"318" 2 2 1 2 2 2 2 2 2 2 2 2
"319" 2 2 2 2 1 1 3 1 3 1 1 1
"320" 2 2 2 2 2 2 2 1 1 1 2 2
"321" 2 2 2 2 2 2 2 1 1 1 2 2
"322" 2 2 1 2 2 3 NA 1 3 1 1 2
"323" 2 2 2 3 3 2 3 1 1 1 3 2
"324" 2 2 1 2 2 2 2 1 1 1 2 2
"325" 2 1 1 1 2 2 1 1 1 1 1 1
"326" 3 2 1 3 3 2 3 1 1 1 2 3
"327" 1 1 1 1 1 1 1 1 2 3 1 1
"328" 1 1 1 1 1 1 1 1 1 1 1 1
"329" 1 1 1 1 1 2 2 1 1 1 1 1
"330" 1 1 1 1 1 1 1 1 1 1 1 1
"331" 1 1 1 1 2 2 1 1 3 1 2 1
"332" 1 1 1 1 1 1 1 1 1 1 1 1
"333" 1 1 1 1 1 2 1 1 2 1 1 1
"334" 1 1 1 1 2 2 1 1 2 1 1 1
"335" 1 1 1 NA NA 1 1 1 3 1 1 2
"336" 1 1 1 1 1 1 1 1 1 1 1 1
"337" 1 1 1 1 1 1 1 1 1 1 1 1
"338" 1 1 1 1 2 1 1 1 1 1 1 1
"339" 1 1 1 2 2 1 1 1 1 1 1 1
"340" 1 1 1 2 2 1 1 1 1 1 1 1
"341" 1 1 1 1 1 1 1 1 2 3 1 1
"342" 1 1 1 1 1 1 1 1 2 3 1 1
"343" 1 1 1 1 1 1 2 2 2 2 1 1
"344" 1 1 1 1 1 1 2 2 2 2 1 1
"345" 1 1 1 1 1 1 1 1 1 1 1 1
"346" 1 1 1 1 1 1 1 1 1 1 2 1
"347" 1 1 1 1 2 2 1 1 1 1 1 1
"348" 1 1 1 1 2 2 1 1 1 1 1 1
"349" 1 1 1 1 1 1 1 1 2 3 1 1
"350" 1 1 1 1 1 1 1 1 2 3 1 1
"351" 1 NA 1 NA 1 1 1 1 2 1 1 1
"352" 1 NA 1 NA 1 1 1 1 2 1 1 1
"353" 1 1 1 1 2 2 2 1 1 1 1 1
"354" 1 1 1 1 2 2 2 1 1 1 1 1
"355" 1 1 1 1 1 1 1 2 1 3 1 1
"356" 1 1 1 1 1 1 1 2 1 3 1 1
"357" 1 1 1 1 1 2 2 1 1 1 1 1
"358" 1 1 1 1 2 2 2 1 3 3 1 1
"359" 1 1 1 1 2 2 2 1 3 3 1 1
"360" 1 1 1 1 1 1 2 2 2 2 2 1
"361" 1 1 1 1 2 2 2 2 2 2 2 1
"362" 1 1 1 1 2 2 1 1 1 1 2 2
"363" 1 1 1 1 1 1 1 1 1 1 1 1
"364" 1 1 1 1 1 1 1 1 1 1 1 1
"365" 1 1 1 1 1 1 1 1 1 1 1 1
"366" 1 1 1 1 1 1 1 1 1 1 1 1
"367" 1 1 1 1 1 1 1 1 1 1 1 1
"368" 1 1 1 1 1 1 1 1 1 1 1 1
"369" 2 2 1 2 2 2 2 2 2 2 2 2
"370" 2 2 2 2 2 2 2 1 2 1 1 1
"371" 2 1 1 1 NA NA 1 2 2 2 2 2
"372" 2 2 1 2 1 1 1 1 1 1 1 1
"373" 2 2 2 2 2 2 2 2 3 1 NA 2
"374" 2 2 2 2 2 2 2 2 3 1 NA 2
"375" 2 2 1 2 2 2 2 1 3 2 3 3
"376" 3 3 3 3 3 3 3 2 2 2 3 3
"377" 1 1 1 1 1 2 1 1 1 1 1 1
"378" 1 1 1 1 1 1 1 1 2 1 1 1
"379" 1 2 2 2 1 1 1 2 2 1 1 1
"380" 1 1 1 1 1 1 1 1 1 1 1 1
"381" 1 1 1 1 1 1 1 2 1 1 1 1
"382" 1 1 1 1 1 1 1 1 1 1 1 1
"383" 1 1 1 1 1 1 1 1 1 1 1 1
"384" 1 1 1 1 1 1 1 1 1 1 1 1
"385" 1 1 1 1 1 1 1 1 1 1 1 1
"386" 1 1 1 1 1 1 1 1 1 1 1 1
"387" 1 1 1 1 1 1 1 1 1 2 1 1
"388" 1 1 1 1 1 1 1 1 1 1 1 1
"389" 1 1 1 1 1 2 1 1 1 1 1 1
"390" 1 1 1 2 2 2 2 1 1 1 1 1
"391" 1 1 1 1 2 1 1 1 1 1 1 1
"392" 1 1 1 1 1 1 1 1 1 2 1 1
"393" 1 1 1 1 1 1 1 1 1 1 1 1
"394" 1 1 1 1 1 1 1 1 1 1 1 1
"395" 1 1 1 1 1 2 1 2 1 1 1 1
"396" 1 1 1 1 1 2 1 2 1 1 1 1
"397" 1 1 1 1 1 1 1 1 1 1 1 1
"398" 1 1 1 1 1 1 1 1 1 1 1 1
"399" 1 1 1 1 1 1 1 2 2 1 1 1
"400" 1 1 1 1 1 1 1 2 2 1 1 1
"401" 1 1 1 1 1 1 1 2 3 1 1 1
"402" 1 1 1 1 1 1 1 2 3 1 1 1
"403" 1 1 1 1 1 1 1 1 1 2 1 1
"404" 1 1 1 1 2 2 2 1 3 1 2 1
"405" 1 1 1 2 2 2 2 1 3 1 2 2
"406" 1 1 1 1 1 1 1 2 1 3 1 1
"407" 1 1 1 1 1 1 1 1 1 1 1 1
"408" 1 1 1 1 2 1 1 1 1 2 1 1
"409" 1 1 1 1 1 1 1 2 1 1 1 1
"410" 2 3 2 3 NA 3 3 NA 3 NA NA 3
"411" 2 2 2 3 3 3 3 2 2 3 3 3
"412" 2 2 1 2 2 3 1 1 3 1 1 2
"413" 2 2 1 2 2 3 1 1 3 1 1 2
"414" 2 3 2 2 3 3 2 3 2 2 3 3
"415" 2 2 2 2 2 2 3 1 2 1 1 2
"416" 2 2 2 2 2 2 3 1 2 1 1 2
"417" 2 1 1 2 2 2 2 1 1 1 2 2
"418" 2 2 2 2 2 1 1 1 2 1 1 1
"419" 2 2 2 2 2 1 1 1 2 1 1 1
"420" 3 1 2 3 3 3 3 3 3 3 3 3
"421" 1 1 1 1 1 1 1 1 3 1 1 1
"422" 1 1 1 1 1 1 1 1 1 2 1 1
"423" 1 1 1 1 2 1 1 1 1 1 1 1
"424" 1 1 1 3 1 2 2 1 1 1 1 1
"425" 1 1 1 1 1 1 1 1 1 1 1 1
"426" 1 1 1 1 1 1 1 1 2 1 1 1
"427" 1 2 1 1 2 2 1 1 1 1 1 1
"428" 1 1 1 1 1 1 1 2 2 3 1 1
"429" 1 1 1 1 1 1 1 2 2 3 1 1
"430" 1 1 1 1 1 1 2 1 1 1 1 1
"431" 1 1 1 1 1 1 1 1 1 1 1 1
"432" 1 1 1 1 2 1 1 1 1 1 1 1
"433" 1 1 1 1 2 1 1 1 1 1 1 1
"434" 1 1 1 1 1 2 2 2 1 1 1 1
"435" 1 2 1 1 1 2 1 2 2 2 1 1
"436" 1 2 1 1 1 2 1 2 2 2 1 1
"437" 1 1 1 1 2 NA 1 1 3 1 NA 2
"438" 1 1 2 1 1 2 1 1 3 2 2 1
"439" 1 1 1 2 2 1 2 2 1 2 1 1
"440" 1 1 1 1 1 2 1 1 1 1 1 1
"441" 1 1 1 1 1 1 2 1 1 1 1 1
"442" 1 1 1 1 1 1 1 1 1 1 1 1
"443" 1 2 1 1 1 3 2 2 3 3 1 1
"444" 1 2 1 1 1 3 2 2 3 3 1 1
"445" 1 1 2 1 1 1 1 1 2 2 1 1
"446" 1 1 2 1 1 1 1 1 2 2 1 1
"447" 1 1 1 1 1 1 1 1 1 1 1 1
"448" 1 1 1 1 1 1 1 1 1 1 1 1
"449" 1 1 1 1 1 1 1 1 2 1 1 1
"450" 1 1 1 1 1 1 1 1 2 1 1 1
"451" 1 2 1 2 2 1 1 1 2 2 2 1
"452" 1 2 1 2 2 1 1 1 2 2 2 1
"453" 1 1 1 1 1 1 1 1 1 1 1 1
"454" 1 1 1 1 1 1 1 1 2 2 2 1
"455" 1 1 1 1 1 1 1 1 1 1 1 1
"456" 1 1 1 1 1 1 1 1 1 1 1 1
"457" 1 1 1 1 1 1 1 1 1 1 1 1
"458" 1 1 1 1 1 1 1 2 1 1 1 1
"459" 1 1 1 1 1 1 1 1 3 1 1 1
"460" 1 1 1 1 1 1 1 1 3 1 1 1
"461" 1 1 1 1 1 1 1 1 1 1 1 1
"462" 1 1 1 1 1 1 1 1 1 1 1 1
"463" 1 1 1 1 1 1 1 1 1 1 1 1
"464" 1 1 1 2 1 1 1 1 2 2 1 1
